"","record","gender","age","age_category","state","use_smartphone","use_tablet","use_computer","use_smarttv","use_console","use_other","phonetype","q1","q3","q5","q6","q8","q13","q14","q15","q16","q17","q18","dstraightliner","selfrated_usage","qusage2_iosc1","qusage2_iosc2","noanswerqusage2_ios_r99","qusage2_andr1c1","qusage2_andr1c2","qusage2_andr2c1","qusage2_andr2c2","qusage2_andr3c1","qusage2_andr3c2","qusage2_andr4c1","qusage2_andr4c2","qusage2_andr5c1","qusage2_andr5c2","qusage2_andr6c1","qusage2_andr6c2","qusage2_andr7c1","qusage2_andr7c2","noanswerqusage2_and_r99","unique_psu_responses","problematic_only1uniquepsu","usage_minutes","qusage2_andr_day1","qusage2_andr_day2","qusage2_andr_day3","qusage2_andr_day4","qusage2_andr_day5","qusage2_andr_day6","qusage2_andr_day7","androidusage_minutes","usage_hours","isfemale","malefemale","usage_loghours","iphone_user","device_count","q1_agree","q3_agree","q5_agree","q6_agree","q8_agree","q13_agree","q14_agree","q15_agree","q16_agree","q17_agree","q18_agree","selfrated_usage_rawnumeric","selfrated_usage_numeric","selfrated_min","selfrated_max","selfrated_usage_accuracy","problematic_morethan16hours","problematic_inconsistentselfwithgt8","problematic_morethan12hours","android_day_unique","probelmatic_android_repeat","problematic_missingusage","problematic_missingselfratedusage","has_missingdata","has_validity_issue","retain","probsmart","techconcern"
"384",562,"Male",29,"25-34","NSW",1,0,1,1,0,0,"iphone",5,5,4,1,4,5,1,5,1,4,5,"No","More than 4 hours",8,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,517,NA,NA,NA,NA,NA,NA,NA,NA,8.61666666666667,FALSE,"Male",2.263497704286,TRUE,3,1,1,1,0,1,1,0,1,0,1,1,5,357,4,24,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.57142857142857,3.75
"388",567,"Female",50,"45-54","WA",1,1,1,0,0,0,"iphone",2,2,2,2,2,2,2,2,5,4,3,"No","Less than 1 hour",0,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,30,NA,NA,NA,NA,NA,NA,NA,NA,0.5,TRUE,"Female",0.405465108108164,TRUE,3,0,0,0,0,0,0,0,0,1,1,0,1,30,0,1,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,3.5
"389",575,"Male",30,"25-34","NSW",1,1,1,0,1,0,"android",4,3,4,5,3,4,4,5,4,5,4,"No","2 to 3 hours",NA,NA,NA,2,30,3,20,4,20,3,20,5,20,3,20,5,20,0,3,FALSE,235.714285714286,150,200,260,200,320,200,320,235.714285714286,3.92857142857143,FALSE,"Male",1.595049174982,FALSE,4,1,0,1,1,0,1,1,1,1,1,1,3,150,NA,NA,NA,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.85714285714286,4.5
"390",569,"Male",68,"65-120","VIC",1,1,1,1,0,0,"android",4,2,4,4,4,2,3,4,4,4,5,"No","1 to 2 hours",NA,NA,NA,2,10,3,15,2,40,3,5,3,20,3,10,2,30,0,4,FALSE,172.857142857143,130,195,160,185,200,190,150,172.857142857143,2.88095238095238,FALSE,"Male",1.35608058252339,FALSE,4,1,0,1,1,1,0,0,1,1,1,1,2,90,1,2,"underestimate",FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.28571428571429,4.25
"391",574,"Male",33,"25-34","NSW",1,1,1,0,0,0,"iphone",3,2,2,3,1,1,3,3,3,4,4,"No","1 to 2 hours",2,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,146,NA,NA,NA,NA,NA,NA,NA,NA,2.43333333333333,FALSE,"Male",1.23353160656748,TRUE,3,0,0,0,0,0,0,0,0,0,1,1,2,90,1,2,"underestimate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.14285714285714,3.5
"392",572,"Male",65,"65-120","QLD",1,1,1,0,0,0,"android",2,2,2,3,2,2,2,4,5,4,4,"No","Less than 1 hour",NA,NA,NA,0,10,0,25,0,20,0,15,0,18,0,20,0,12,0,4,FALSE,17.1428571428571,10,25,20,15,18,20,12,17.1428571428571,0.285714285714286,FALSE,"Male",0.251314428280906,FALSE,3,0,0,0,0,0,0,0,1,1,1,1,1,30,0,1,"accurate",FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.14285714285714,4.25
"393",570,"Male",47,"45-54","WA",1,1,0,1,1,0,"android",3,4,3,3,3,3,4,3,3,3,3,"No","More than 4 hours",NA,NA,NA,2,5,4,12,3,0,5,12,7,0,6,3,7,4,0,2,FALSE,296.571428571429,125,252,180,312,420,363,424,296.571428571429,4.94285714285714,FALSE,"Male",1.7821900182119,FALSE,4,0,1,0,0,0,0,1,0,0,0,0,5,357,4,24,"accurate",FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.28571428571429,3
"395",576,"Female",26,"25-34","NSW",1,1,1,1,1,0,"android",5,5,4,5,4,4,4,5,5,5,4,"No","More than 4 hours",NA,NA,NA,3,21,3,16,4,5,3,30,3,7,4,30,3,45,0,2,FALSE,219.142857142857,201,196,245,210,187,270,225,219.142857142857,3.65238095238095,TRUE,"Female",1.53737912132531,FALSE,5,1,1,1,1,1,1,1,1,1,1,1,5,357,4,24,"overestimate",FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4.42857142857143,4.75
"396",579,"Female",30,"25-34","NSW",1,0,0,0,0,0,"iphone",3,2,2,2,3,2,3,2,3,2,3,"No","3 to 4 hours",4,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,255,NA,NA,NA,NA,NA,NA,NA,NA,4.25,TRUE,"Female",1.65822807660353,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,4,210,3,4,"underestimate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.42857142857143,2.5
"398",581,"Male",39,"35-44","QLD",1,0,1,0,0,0,"android",4,4,4,4,4,4,4,4,4,4,4,"No","1 to 2 hours",NA,NA,NA,1,30,1,20,1,30,1,35,1,25,1,20,1,10,0,2,FALSE,84.2857142857143,90,80,90,95,85,80,70,84.2857142857143,1.4047619047619,FALSE,"Male",0.877450898557891,FALSE,2,1,1,1,1,1,1,1,1,1,1,1,2,90,1,2,"accurate",FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,4
"401",586,"Male",60,"55-64","NSW",1,1,1,0,0,0,"android",2,2,1,1,2,1,1,3,4,3,2,"No","Less than 1 hour",NA,NA,NA,0,30,0,20,0,20,0,15,0,20,0,25,0,20,0,4,FALSE,21.4285714285714,30,20,20,15,20,25,20,21.4285714285714,0.357142857142857,FALSE,"Male",0.305381649551182,FALSE,3,0,0,0,0,0,0,0,0,1,0,0,1,30,0,1,"accurate",FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.42857142857143,3
"402",587,"Male",61,"55-64","VIC",1,0,1,0,0,0,"iphone",2,2,2,1,1,1,1,4,3,4,5,"No","Less than 1 hour",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,60,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,"Male",0.693147180559945,TRUE,2,0,0,0,0,0,0,0,1,0,1,1,1,30,0,1,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.42857142857143,4
"405",591,"Female",31,"25-34","SA",1,1,1,1,0,0,"android",4,4,4,3,3,2,3,2,2,2,3,"No","2 to 3 hours",NA,NA,NA,3,15,5,35,4,45,3,47,4,38,3,53,4,23,0,3,FALSE,259.428571428571,195,335,285,227,278,233,263,259.428571428571,4.32380952380952,TRUE,"Female",1.67218912299758,FALSE,4,1,1,1,0,0,0,0,0,0,0,0,3,150,NA,NA,NA,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.28571428571429,2.25
"406",590,"Female",22,"18-24","NSW",1,0,1,0,0,0,"iphone",5,3,3,3,1,3,3,4,4,4,5,"No","More than 4 hours",4,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,285,NA,NA,NA,NA,NA,NA,NA,NA,4.75,TRUE,"Female",1.74919985480926,TRUE,2,1,0,0,0,0,0,0,1,1,1,1,5,357,4,24,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,4.25
"408",593,"Female",36,"35-44","SA",1,0,1,0,0,0,"android",3,4,4,5,3,1,3,5,4,4,5,"No","2 to 3 hours",NA,NA,NA,2,47,2,23,4,16,1,52,3,11,2,8,2,35,0,5,FALSE,164.571428571429,167,143,256,112,191,128,155,164.571428571429,2.74285714285714,TRUE,"Female",1.31984926171174,FALSE,2,0,1,1,1,0,0,0,1,1,1,1,3,150,NA,NA,NA,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.28571428571429,4.5
"409",596,"Female",37,"35-44","VIC",1,1,1,1,0,0,"android",1,1,1,2,4,4,4,4,4,4,3,"No","2 to 3 hours",NA,NA,NA,1,30,2,40,1,30,2,30,1,40,2,50,1,0,0,4,FALSE,117.142857142857,90,160,90,150,100,170,60,117.142857142857,1.95238095238095,TRUE,"Female",1.08261194732167,FALSE,4,0,0,0,0,1,1,1,1,1,1,0,3,150,NA,NA,NA,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.42857142857143,3.75
"410",597,"Male",70,"65-120","VIC",1,1,1,1,0,0,"iphone",5,5,4,5,4,4,3,1,4,2,5,"No","2 to 3 hours",4,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,288,NA,NA,NA,NA,NA,NA,NA,NA,4.8,FALSE,"Male",1.75785791755237,TRUE,4,1,1,1,1,1,1,0,0,1,0,1,3,150,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4.28571428571429,3
"414",609,"Male",37,"35-44","ACT",1,1,1,0,0,0,"android",4,4,4,5,5,4,4,3,5,4,4,"No","3 to 4 hours",NA,NA,NA,4,30,3,20,4,10,3,10,2,20,4,20,4,10,0,4,FALSE,222.857142857143,270,200,250,190,140,260,250,222.857142857143,3.71428571428571,FALSE,"Male",1.55059741241117,FALSE,3,1,1,1,1,1,1,1,0,1,1,1,4,210,3,4,"accurate",FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4.28571428571429,4
"416",612,"Male",47,"45-54","NSW",1,1,1,0,0,0,"iphone",4,4,4,3,3,4,3,4,5,4,3,"No","2 to 3 hours",4,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,250,NA,NA,NA,NA,NA,NA,NA,NA,4.16666666666667,FALSE,"Male",1.64222773525709,TRUE,3,1,1,1,0,0,1,0,1,1,1,0,3,150,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.57142857142857,4
"417",617,"Female",70,"65-120","VIC",1,0,1,0,0,0,"iphone",2,2,3,3,1,1,3,4,4,3,2,"No","1 to 2 hours",2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,120,NA,NA,NA,NA,NA,NA,NA,NA,2,TRUE,"Female",1.09861228866811,TRUE,2,0,0,0,0,0,0,0,1,1,0,0,2,90,1,2,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.14285714285714,3.25
"418",618,"Male",21,"18-24","SA",1,0,1,0,1,0,"iphone",5,4,3,2,3,4,2,2,3,4,3,"No","1 to 2 hours",1,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,107,NA,NA,NA,NA,NA,NA,NA,NA,1.78333333333333,FALSE,"Male",1.02364925019465,TRUE,3,1,1,0,0,0,1,0,0,0,1,0,2,90,1,2,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.28571428571429,3
"420",622,"Female",71,"65-120","WA",1,0,1,0,0,0,"iphone",3,2,1,1,1,1,1,2,3,3,4,"No","2 to 3 hours",3,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,220,NA,NA,NA,NA,NA,NA,NA,NA,3.66666666666667,TRUE,"Female",1.54044504094715,TRUE,2,0,0,0,0,0,0,0,0,0,0,1,3,150,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.42857142857143,3
"421",624,"Female",30,"25-34","VIC",1,0,1,0,0,0,"iphone",4,4,4,4,3,3,3,3,3,3,3,"No","1 to 2 hours",1,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,75,NA,NA,NA,NA,NA,NA,NA,NA,1.25,TRUE,"Female",0.810930216216329,TRUE,2,1,1,1,1,0,0,0,0,0,0,0,2,90,1,2,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.57142857142857,3
"423",623,"Female",60,"55-64","WA",1,0,1,0,0,0,"iphone",2,1,1,3,2,1,3,4,5,5,4,"No","Less than 1 hour",0,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,40,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,TRUE,"Female",0.510825623765991,TRUE,2,0,0,0,0,0,0,0,1,1,1,1,1,30,0,1,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.85714285714286,4.5
"424",620,"Male",45,"45-54","WA",1,0,1,1,1,0,"android",1,1,1,3,1,1,3,4,5,4,4,"No","Less than 1 hour",NA,NA,NA,0,32,0,40,0,38,0,58,0,34,0,56,0,40,0,5,FALSE,42.5714285714286,32,40,38,58,34,56,40,42.5714285714286,0.709523809523809,FALSE,"Male",0.53621485777081,FALSE,4,0,0,0,0,0,0,0,1,1,1,1,1,30,0,1,"accurate",FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.57142857142857,4.25
"429",632,"Female",31,"25-34","NSW",1,0,1,0,0,0,"android",2,3,2,4,1,1,1,3,4,3,5,"No","3 to 4 hours",NA,NA,NA,0,54,0,10,0,11,1,30,1,39,1,38,1,26,0,5,FALSE,64,54,10,11,90,99,98,86,64,1.06666666666667,TRUE,"Female",0.725937003382936,FALSE,2,0,0,0,1,0,0,0,0,1,0,1,4,210,3,4,"overestimate",FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,3.75
"432",637,"Female",67,"65-120","SA",1,0,1,0,0,0,"android",4,4,2,2,2,1,2,3,5,5,5,"No","2 to 3 hours",NA,NA,NA,3,10,2,0,3,15,2,10,3,0,3,10,3,20,0,5,FALSE,172.142857142857,190,120,195,130,180,190,200,172.142857142857,2.86904761904762,TRUE,"Female",1.35300838348642,FALSE,2,1,1,0,0,0,0,0,0,1,1,1,3,150,NA,NA,NA,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.42857142857143,4.5
"435",644,"Female",57,"55-64","QLD",1,1,1,1,0,0,"iphone",2,3,5,4,2,2,2,4,5,3,5,"No","1 to 2 hours",2,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,143,NA,NA,NA,NA,NA,NA,NA,NA,2.38333333333333,TRUE,"Female",1.21886141681969,TRUE,4,0,0,1,1,0,0,0,1,1,0,1,2,90,1,2,"underestimate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.85714285714286,4.25
"436",643,"Male",56,"55-64","WA",1,0,1,1,0,0,"android",3,4,3,3,2,3,2,4,4,3,4,"No","2 to 3 hours",NA,NA,NA,3,22,2,41,1,55,2,6,2,37,2,14,3,6,0,3,FALSE,154.428571428571,202,161,115,126,157,134,186,154.428571428571,2.57380952380952,FALSE,"Male",1.27363212035605,FALSE,3,0,1,0,0,0,0,0,1,1,0,1,3,150,NA,NA,NA,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.85714285714286,3.75
"437",634,"Female",37,"35-44","NSW",1,1,1,1,1,0,"android",2,2,1,2,1,1,2,5,5,5,5,"No","1 to 2 hours",NA,NA,NA,1,27,0,34,2,30,2,0,1,18,2,0,0,12,0,3,FALSE,85.8571428571429,87,34,150,120,78,120,12,85.8571428571429,1.43095238095238,TRUE,"Female",0.888283106887252,FALSE,5,0,0,0,0,0,0,0,1,1,1,1,2,90,1,2,"accurate",FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.57142857142857,5
"439",648,"Female",57,"55-64","NSW",1,1,1,1,1,0,"iphone",2,1,2,3,4,1,1,5,5,2,5,"No","Less than 1 hour",0,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,47,NA,NA,NA,NA,NA,NA,NA,NA,0.783333333333333,TRUE,"Female",0.578484272239805,TRUE,5,0,0,0,0,1,0,0,1,1,0,1,1,30,0,1,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,4.25
"440",646,"Female",41,"35-44","VIC",1,0,1,0,0,0,"iphone",2,4,2,2,2,1,1,5,5,3,3,"No","1 to 2 hours",6,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,385,NA,NA,NA,NA,NA,NA,NA,NA,6.41666666666667,TRUE,"Female",2.00372971994414,TRUE,2,0,1,0,0,0,0,0,1,1,0,0,2,90,1,2,"underestimate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,4
"442",650,"Male",48,"45-54","SA",1,0,1,0,0,0,"android",2,2,1,1,2,2,2,3,3,3,5,"No","Less than 1 hour",NA,NA,NA,0,10,0,15,0,35,0,10,0,10,0,30,0,10,0,4,FALSE,17.1428571428571,10,15,35,10,10,30,10,17.1428571428571,0.285714285714286,FALSE,"Male",0.251314428280906,FALSE,2,0,0,0,0,0,0,0,0,0,0,1,1,30,0,1,"accurate",FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.71428571428571,3.5
"444",655,"Female",29,"25-34","WA",1,0,1,0,0,0,"android",4,4,3,3,3,4,4,3,4,4,3,"No","2 to 3 hours",NA,NA,NA,5,30,2,20,4,22,4,34,5,50,1,40,2,20,0,3,FALSE,228,330,140,262,274,350,100,140,228,3.8,TRUE,"Female",1.56861591791385,FALSE,2,1,1,0,0,0,1,1,0,1,1,0,3,150,NA,NA,NA,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.57142857142857,3.5
"445",652,"Female",59,"55-64","SA",1,1,1,1,1,0,"android",1,2,1,1,1,1,3,2,4,3,5,"No","Less than 1 hour",NA,NA,NA,0,40,0,18,1,21,0,25,0,16,0,56,0,10,0,5,FALSE,35.1428571428571,40,18,81,25,16,56,10,35.1428571428571,0.585714285714286,TRUE,"Female",0.461034959262975,FALSE,5,0,0,0,0,0,0,0,0,1,0,1,1,30,0,1,"accurate",FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.42857142857143,3.5
"447",656,"Female",34,"25-34","NSW",1,0,1,0,0,0,"android",3,3,3,3,1,3,3,3,3,3,3,"No","2 to 3 hours",NA,NA,NA,1,32,1,23,1,0,1,12,1,14,1,56,1,45,0,4,FALSE,86,92,83,60,72,74,116,105,86,1.43333333333333,TRUE,"Female",0.889262059486236,FALSE,2,0,0,0,0,0,0,0,0,0,0,0,3,150,NA,NA,NA,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.71428571428571,3
"448",658,"Male",48,"45-54","VIC",1,0,1,0,0,0,"iphone",2,2,2,2,2,1,2,3,4,3,4,"No","Less than 1 hour",1,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,77,NA,NA,NA,NA,NA,NA,NA,NA,1.28333333333333,FALSE,"Male",0.825636363606024,TRUE,2,0,0,0,0,0,0,0,0,1,0,1,1,30,0,1,"underestimate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.85714285714286,3.5
"449",659,"Female",35,"35-44","NSW",1,0,1,0,0,0,"iphone",4,3,3,2,2,2,4,4,5,5,4,"No","3 to 4 hours",4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,240,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,"Female",1.6094379124341,TRUE,2,1,0,0,0,0,0,1,1,1,1,1,4,210,3,4,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.85714285714286,4.5
"450",661,"Male",35,"35-44","NSW",1,0,1,0,0,0,"android",3,3,3,3,2,2,2,3,3,3,4,"No","3 to 4 hours",NA,NA,NA,4,36,5,12,3,57,4,44,5,20,5,30,5,42,0,3,FALSE,300.142857142857,276,312,237,284,320,330,342,300.142857142857,5.00238095238095,FALSE,"Male",1.79215621591051,FALSE,2,0,0,0,0,0,0,0,0,0,0,1,4,210,3,4,"underestimate",FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.57142857142857,3.25
"451",665,"Female",65,"65-120","VIC",1,0,1,0,0,0,"iphone",2,2,4,3,2,2,2,3,3,2,3,"No","1 to 2 hours",3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,180,NA,NA,NA,NA,NA,NA,NA,NA,3,TRUE,"Female",1.38629436111989,TRUE,2,0,0,1,0,0,0,0,0,0,0,0,2,90,1,2,"underestimate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.42857142857143,2.75
"452",663,"Male",70,"65-120","NSW",1,1,1,0,0,0,"android",3,3,2,3,2,1,2,3,5,3,5,"No","1 to 2 hours",NA,NA,NA,3,30,1,20,1,55,2,15,1,50,0,55,2,10,0,4,FALSE,119.285714285714,210,80,115,135,110,55,130,119.285714285714,1.98809523809524,FALSE,"Male",1.09463614028847,FALSE,3,0,0,0,0,0,0,0,0,1,0,1,2,90,1,2,"accurate",FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.28571428571429,4
"454",671,"Male",43,"35-44","VIC",1,0,1,0,0,0,"android",1,1,1,1,1,1,1,5,5,4,5,"No","1 to 2 hours",NA,NA,NA,2,23,3,35,2,24,1,16,2,12,3,36,2,45,0,3,FALSE,155.857142857143,143,215,144,76,132,216,165,155.857142857143,2.59761904761905,FALSE,"Male",1.28027225099533,FALSE,2,0,0,0,0,0,0,0,1,1,1,1,2,90,1,2,"underestimate",FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,4.75
"455",670,"Female",27,"25-34","VIC",1,0,1,0,0,0,"android",4,3,4,4,2,3,2,4,4,3,3,"No","3 to 4 hours",NA,NA,NA,3,10,4,5,2,15,3,6,3,45,2,58,3,17,0,3,FALSE,193.714285714286,190,245,135,186,225,178,197,193.714285714286,3.22857142857143,TRUE,"Female",1.4418642122747,FALSE,2,1,0,1,1,0,0,0,1,1,0,0,4,210,3,4,"accurate",FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.14285714285714,3.5
"456",672,"Female",73,"65-120","QLD",1,1,1,0,0,0,"iphone",2,2,2,4,2,2,2,4,4,2,4,"No","1 to 2 hours",2,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,140,NA,NA,NA,NA,NA,NA,NA,NA,2.33333333333333,TRUE,"Female",1.20397280432594,TRUE,3,0,0,0,1,0,0,0,1,1,0,1,2,90,1,2,"underestimate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.28571428571429,3.5
"457",676,"Female",30,"25-34","NSW",1,1,1,1,1,0,"iphone",2,2,3,2,2,2,2,5,5,4,4,"No","1 to 2 hours",1,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,80,NA,NA,NA,NA,NA,NA,NA,NA,1.33333333333333,TRUE,"Female",0.847297860387203,TRUE,5,0,0,0,0,0,0,0,1,1,1,1,2,90,1,2,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.14285714285714,4.5
"458",673,"Male",68,"65-120","NSW",1,0,1,1,0,0,"android",2,3,2,3,2,2,2,4,4,3,4,"No","2 to 3 hours",NA,NA,NA,3,20,3,45,2,30,3,40,2,20,4,5,2,45,0,3,FALSE,192.142857142857,200,225,150,220,140,245,165,192.142857142857,3.20238095238095,FALSE,"Male",1.43565125808998,FALSE,3,0,0,0,0,0,0,0,1,1,0,1,3,150,NA,NA,NA,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.28571428571429,3.75
"459",669,"Male",36,"35-44","WA",1,1,1,1,1,0,"android",4,2,2,2,1,1,1,5,5,2,5,"No","More than 4 hours",NA,NA,NA,4,25,3,12,5,26,4,30,2,25,5,30,4,16,0,5,FALSE,254.857142857143,265,192,326,270,145,330,256,254.857142857143,4.24761904761905,FALSE,"Male",1.65777445899539,FALSE,5,1,0,0,0,0,0,0,1,1,0,1,5,357,4,24,"accurate",FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.85714285714286,4.25
"460",677,"Female",45,"45-54","SA",1,1,1,0,0,0,"iphone",5,1,5,5,3,2,2,5,4,3,4,"No","More than 4 hours",6,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,381,NA,NA,NA,NA,NA,NA,NA,NA,6.35,TRUE,"Female",1.99470031322475,TRUE,3,1,0,1,1,0,0,0,1,1,0,1,5,357,4,24,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.28571428571429,4
