"","record","gender","age","age_category","state","use_smartphone","use_tablet","use_computer","use_smarttv","use_console","use_other","phonetype","q1","q3","q5","q6","q8","q13","q14","q15","q16","q17","q18","dstraightliner","selfrated_usage","qusage2_iosc1","qusage2_iosc2","noanswerqusage2_ios_r99","qusage2_andr1c1","qusage2_andr1c2","qusage2_andr2c1","qusage2_andr2c2","qusage2_andr3c1","qusage2_andr3c2","qusage2_andr4c1","qusage2_andr4c2","qusage2_andr5c1","qusage2_andr5c2","qusage2_andr6c1","qusage2_andr6c2","qusage2_andr7c1","qusage2_andr7c2","noanswerqusage2_and_r99","unique_psu_responses","problematic_only1uniquepsu","usage_minutes","qusage2_andr_day1","qusage2_andr_day2","qusage2_andr_day3","qusage2_andr_day4","qusage2_andr_day5","qusage2_andr_day6","qusage2_andr_day7","androidusage_minutes","usage_hours","isfemale","malefemale","usage_loghours","iphone_user","device_count","q1_agree","q3_agree","q5_agree","q6_agree","q8_agree","q13_agree","q14_agree","q15_agree","q16_agree","q17_agree","q18_agree","selfrated_usage_rawnumeric","selfrated_usage_numeric","selfrated_min","selfrated_max","selfrated_usage_accuracy","problematic_morethan16hours","problematic_inconsistentselfwithgt8","problematic_morethan12hours","android_day_unique","probelmatic_android_repeat","problematic_missingusage","problematic_missingselfratedusage","has_missingdata","has_validity_issue","retain","probsmart","techconcern"
"15",22,"Female",39,"35-44","NSW",1,1,1,0,0,0,"iphone",1,4,3,3,2,2,4,5,5,5,5,"No","2 to 3 hours",4,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,243,NA,NA,NA,NA,NA,NA,NA,NA,4.05,TRUE,"Female",1.61938824328727,TRUE,3,0,1,0,0,0,0,1,1,1,1,1,3,150,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.71428571428571,5
"16",23,"Female",27,"25-34","VIC",1,1,1,0,0,0,"iphone",4,4,4,4,5,4,3,3,3,4,3,"No","More than 4 hours",8,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,486,NA,NA,NA,NA,NA,NA,NA,NA,8.1,TRUE,"Female",2.2082744135228,TRUE,3,1,1,1,1,1,1,0,0,0,1,0,5,357,4,24,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,3.25
"18",28,"Male",50,"45-54","QLD",1,0,1,0,0,0,"android",4,4,4,3,4,4,4,3,5,2,4,"No","Less than 1 hour",NA,NA,NA,3,16,2,12,5,31,0,24,2,57,3,14,1,53,0,4,FALSE,166.714285714286,196,132,331,24,177,194,113,166.714285714286,2.77857142857143,FALSE,"Male",1.329346009249,FALSE,2,1,1,1,0,1,1,1,0,1,0,1,1,30,0,1,"underestimate",FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.85714285714286,3.5
"19",29,"Female",20,"18-24","QLD",1,1,1,1,1,0,"iphone",1,5,5,3,3,3,4,3,4,4,4,"No","More than 4 hours",7,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,469,NA,NA,NA,NA,NA,NA,NA,NA,7.81666666666667,TRUE,"Female",2.1766438696362,TRUE,5,0,1,1,0,0,0,1,0,1,1,1,5,357,4,24,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.42857142857143,3.75
"21",31,"Male",49,"45-54","NSW",1,1,1,0,0,0,"iphone",3,3,2,2,2,2,3,5,4,4,3,"No","2 to 3 hours",2,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,165,NA,NA,NA,NA,NA,NA,NA,NA,2.75,FALSE,"Male",1.32175583998232,TRUE,3,0,0,0,0,0,0,0,1,1,1,0,3,150,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.42857142857143,4
"22",32,"Male",47,"45-54","NSW",1,1,1,1,0,0,"android",2,2,2,1,2,2,3,4,4,4,5,"No","Less than 1 hour",NA,NA,NA,1,12,0,22,2,11,1,5,0,56,2,22,1,13,0,5,FALSE,80.1428571428571,72,22,131,65,56,142,73,80.1428571428571,1.33571428571429,FALSE,"Male",0.848317748287949,FALSE,4,0,0,0,0,0,0,0,1,1,1,1,1,30,0,1,"underestimate",FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,4.25
"23",33,"Female",33,"25-34","WA",1,1,1,0,0,0,"android",5,5,5,4,2,4,4,4,4,4,4,"No","2 to 3 hours",NA,NA,NA,1,12,2,0,1,45,1,17,2,20,2,34,2,11,0,3,FALSE,114.142857142857,72,120,105,77,140,154,131,114.142857142857,1.90238095238095,TRUE,"Female",1.06553141820386,FALSE,3,1,1,1,1,0,1,1,1,1,1,1,3,150,NA,NA,NA,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4.14285714285714,4
"25",36,"Male",32,"25-34","NSW",1,1,1,0,0,0,"android",3,3,3,3,2,2,2,3,4,3,4,"No","1 to 2 hours",NA,NA,NA,1,1,1,39,2,52,2,38,2,35,1,32,1,1,0,3,FALSE,114,61,99,172,158,155,92,61,114,1.9,FALSE,"Male",1.06471073699243,FALSE,3,0,0,0,0,0,0,0,0,1,0,1,2,90,1,2,"accurate",FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.57142857142857,3.5
"26",34,"Male",42,"35-44","NSW",1,0,1,0,0,0,"iphone",4,5,4,5,4,4,5,5,4,5,5,"No","2 to 3 hours",2,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,150,NA,NA,NA,NA,NA,NA,NA,NA,2.5,FALSE,"Male",1.25276296849537,TRUE,2,1,1,1,1,1,1,1,1,1,1,1,3,150,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4.42857142857143,4.75
"27",37,"Female",22,"18-24","VIC",1,1,1,1,1,0,"iphone",4,4,3,3,2,2,2,4,3,3,4,"No","1 to 2 hours",1,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,66,NA,NA,NA,NA,NA,NA,NA,NA,1.1,TRUE,"Female",0.741937344729377,TRUE,5,1,1,0,0,0,0,0,1,0,0,1,2,90,1,2,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.85714285714286,3.5
